Serial Number,Asset Tag,Is-Active
D25LJ0DWF8J9,Z00000075,TRUE
D25LJ0DTF8J9,Z00000114,TRUE
D25HX0MXDHJW,Z00000195,TRUE
D25HX05KDHJW,Z00000196,TRUE
D25HX061DHJW,Z00000197,TRUE
OP72007GVGP,Z00000212,TRUE
W87511D4ZCT,Z00000225,TRUE
D25LJ091F8J9,Z00000276,TRUE
QP9301690TM,Z00000284,TRUE
D25LJ0DXF8J9,Z00000766,TRUE
D25M70JBF8J9,Z00000832,TRUE
D25M70JDF8J9,Z00000833,TRUE
D25M70CDF8J9,Z00000834,TRUE
D25M70JCF8J9,Z00000835,TRUE
D25QC00CF8J9,Z00001346,TRUE
C1MQ9236DV30,Z00001477,TRUE
D25QF1YZFY14,Z00001736,TRUE
D25QF1Y1FY14,Z00001737,TRUE
D25S809QGG7V,Z00001741,TRUE
D25S809CGG7V,Z00001747,TRUE
D25S809EGG7V,Z00001749,TRUE
D25S809PGG7V,Z00001769,TRUE
D25S809MGG7V,Z00001808,TRUE
C02HXOWEF1G3,Z00003558,TRUE
D25KD17NDNMP,Z00003561,TRUE
D25MJ1BEF8J9,Z00003575,TRUE
D25LJ0PKF8J9,Z00003576,TRUE
D25MJ1BKF8J9,Z00003580,TRUE
D25MJ1BFF8J9,Z00004387,TRUE
D25MJ1BJF8J9,Z00004707,TRUE
D25MJ1BHF8J9,Z00004709,TRUE
D25MJ1BGF8J,Z00004711,TRUE
D25MK09XF8J9,Z00004769,TRUE
D25MK058F8J9,Z00004770,TRUE
D25MK09ZF8J9,Z00004771,TRUE
D25MK0A0F8J9,Z00004772,TRUE
D25MK09YF8J9,Z00004773,TRUE
D25MJ1BLF8J9,Z00004774,TRUE
D25MJ1BCF8J9,Z00004775,TRUE
C1MRQ4U6H3QK,Z00005074,TRUE
C1MRQ4TYH3QK,Z00005078,TRUE
D25S802UGG7V,Z00006046,TRUE
QP8460NTZE7,Z00006057,TRUE
QP8460P6ZE7,Z00006079,TRUE
QP8460P4ZE7,Z00006080,TRUE
QP8460P5ZE7,Z00006199,TRUE
QP8460NQZE7,Z00006201,TRUE
QP8460NFZE7,Z00006202,TRUE
QP92103Q250,Z00006204,TRUE
D25QG09EFY14,Z00006208,TRUE
D25QF1ZFFY14,Z00006209,TRUE
D25QF20KFY14,Z00006210,TRUE
D25Q90UGF8J9,Z00006222,TRUE
D25QF206FY14,Z00006223,TRUE
D25QC03CF8J9,Z00006224,TRUE
D25QF1Z1FY14,Z00006236,TRUE
D25QF20BFY14,Z00006237,TRUE
D25QF213FY14,Z00006238,TRUE
D25QG08YFY14,Z00006239,TRUE
D25QF21AFY14,Z00006241,TRUE
D25QF1Z9FY14,Z00006242,TRUE
D25QF1YWFY14,Z00006243,TRUE
D25QF20FFY14,Z00006244,TRUE
D25QG09PFY14,Z00006245,TRUE
D25QF1ZDFY14,Z00006246,TRUE
D25QF204FY14,Z00006247,TRUE
D25QF1YRFY14,Z00006248,TRUE
